"filename", "language", "Python", "pip requirements", "HTML", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\README.md", "Markdown", 0, 0, 0, 0, 51, 0, 16, 67
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\app.py", "Python", 26, 0, 0, 0, 0, 4, 8, 38
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\db.py", "Python", 3, 0, 0, 0, 0, 2, 2, 7
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\index.html", "HTML", 0, 0, 131, 0, 0, 10, 9, 150
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\auth.js", "JavaScript", 0, 0, 0, 33, 0, 0, 7, 40
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\main.js", "JavaScript", 0, 0, 0, 35, 0, 6, 10, 51
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\microservices\add-tag.js", "JavaScript", 0, 0, 0, 131, 0, 1, 14, 146
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\microservices\delete-tag.js", "JavaScript", 0, 0, 0, 180, 0, 0, 21, 201
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\microservices\tag-modals.js", "JavaScript", 0, 0, 0, 21, 0, 0, 6, 27
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\ui\modal.js", "JavaScript", 0, 0, 0, 277, 0, 0, 12, 289
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\ui\render.js", "JavaScript", 0, 0, 0, 57, 0, 1, 11, 69
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\ui\wheel.js", "JavaScript", 0, 0, 0, 25, 0, 0, 8, 33
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\utils\api.js", "JavaScript", 0, 0, 0, 105, 0, 5, 8, 118
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\js\utils\format.js", "JavaScript", 0, 0, 0, 50, 0, 0, 7, 57
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\login.html", "HTML", 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\register.html", "HTML", 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\frontend\tag.html", "HTML", 0, 0, 141, 0, 0, 9, 7, 157
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\init_db.py", "Python", 81, 0, 0, 0, 0, 2, 5, 88
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\init_tags.py", "Python", 34, 0, 0, 0, 0, 5, 7, 46
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\microservices\tag_add_router.py", "Python", 25, 0, 0, 0, 0, 1, 7, 33
"c:\Users\xavie\OneDrive\Desktop\cs361\cs361-main-program\microservices\tag_add_service.py", "Python", 84, 0, 0, 0, 0, 8, 24, 116
